10,กรุงเทพมหานคร,Bangkok,2
11,สมุทรปราการ,Samut Prakan,2
12,นนทบุรี,Nonthaburi,2
13,ปทุมธานี,Pathum Thani,2
14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,2
15,อ่างทอง,Ang Thong,2
16,ลพบุรี,Loburi,2
17,สิงห์บุรี,Sing Buri,2
18,ชัยนาท,Chai Nat,2
19,สระบุรี,Saraburi,2
20,ชลบุรี,Chon Buri,5
21,ระยอง,Rayong,5
22,จันทบุรี,Chanthaburi,5
23,ตราด,Trat,5
24,ฉะเชิงเทรา,Chachoengsao,5
25,ปราจีนบุรี,Prachin Buri,5
26,นครนายก,Nakhon Nayok,2
27,สระแก้ว,Sa Kaeo,5
30,นครราชสีมา,Nakhon Ratchasima,3
31,บุรีรัมย์,Buri Ram,3
32,สุรินทร์,Surin,3
33,ศรีสะเกษ,Si Sa Ket,3
34,อุบลราชธานี,Ubon Ratchathani,3
35,ยโสธร,Yasothon,3
36,ชัยภูมิ,Chaiyaphum,3
37,อำนาจเจริญ,Amnat Charoen,3
39,หนองบัวลำภู,Nong Bua Lam Phu,3
40,ขอนแก่น,Khon Kaen,3
41,อุดรธานี,Udon Thani,3
42,เลย,Loei,3
43,หนองคาย,Nong Khai,3
44,มหาสารคาม,Maha Sarakham,3
45,ร้อยเอ็ด,Roi Et,3
46,กาฬสินธุ์,Kalasin,3
47,สกลนคร,Sakon Nakhon,3
48,นครพนม,Nakhon Phanom,3
49,มุกดาหาร,Mukdahan,3
50,เชียงใหม่,Chiang Mai,1
51,ลำพูน,Lamphun,1
52,ลำปาง,Lampang,1
53,อุตรดิตถ์,Uttaradit,1
54,แพร่,Phrae,1
55,น่าน,Nan,1
56,พะเยา,Phayao,1
57,เชียงราย,Chiang Rai,1
58,แม่ฮ่องสอน,Mae Hong Son,1
60,นครสวรรค์,Nakhon Sawan,2
61,อุทัยธานี,Uthai Thani,2
62,กำแพงเพชร,Kamphaeng Phet,2
63,ตาก,Tak,4
64,สุโขทัย,Sukhothai,2
65,พิษณุโลก,Phitsanulok,2
66,พิจิตร,Phichit,2
67,เพชรบูรณ์,Phetchabun,2
70,ราชบุรี,Ratchaburi,4
71,กาญจนบุรี,Kanchanaburi,4
72,สุพรรณบุรี,Suphan Buri,2
73,นครปฐม,Nakhon Pathom,2
74,สมุทรสาคร,Samut Sakhon,2
75,สมุทรสงคราม,Samut Songkhram,2
76,เพชรบุรี,Phetchaburi,4
77,ประจวบคีรีขันธ์,Prachuap Khiri Khan,4
80,นครศรีธรรมราช,Nakhon Si Thammarat,6
81,กระบี่,Krabi,6
82,พังงา,Phangnga,6
83,ภูเก็ต,Phuket,6
84,สุราษฎร์ธานี,Surat Thani,6
85,ระนอง,Ranong,6
86,ชุมพร,Chumphon,6
90,สงขลา,Songkhla,6
91,สตูล,Satun,6
92,ตรัง,Trang,6
93,พัทลุง,Phatthalung,6
94,ปัตตานี,Pattani,6
95,ยะลา,Yala,6
96,นราธิวาส,Narathiwat,6
97,บึงกาฬ,buogkan,3
