1001,เขตพระนคร,Khet Phra Nakhon,1
1002,เขตดุสิต,Khet Dusit,1
1003,เขตหนองจอก,Khet Nong Chok,1
1004,เขตบางรัก,Khet Bang Rak,1
1005,เขตบางเขน,Khet Bang Khen,1
1006,เขตบางกะปิ,Khet Bang Kapi,1
1007,เขตปทุมวัน,Khet Pathum Wan,1
1008,เขตป้อมปราบศัตรูพ่าย,Khet Pom Prap Sattru Phai,1
1009,เขตพระโขนง,Khet Phra Khanong,1
1010,เขตมีนบุรี,Khet Min Buri,1
1011,เขตลาดกระบัง,Khet Lat Krabang,1
1012,เขตยานนาวา,Khet Yan Nawa,1
1013,เขตสัมพันธวงศ์,Khet Samphanthawong,1
1014,เขตพญาไท,Khet Phaya Thai,1
1015,เขตธนบุรี,Khet Thon Buri,1
1016,เขตบางกอกใหญ่,Khet Bangkok Yai,1
1017,เขตห้วยขวาง,Khet Huai Khwang,1
1018,เขตคลองสาน,Khet Khlong San,1
1019,เขตตลิ่งชัน,Khet Taling Chan,1
1020,เขตบางกอกน้อย,Khet Bangkok Noi,1
1021,เขตบางขุนเทียน,Khet Bang Khun Thian,1
1022,เขตภาษีเจริญ,Khet Phasi Charoen,1
1023,เขตหนองแขม,Khet Nong Khaem,1
1024,เขตราษฎร์บูรณะ,Khet Rat Burana,1
1025,เขตบางพลัด,Khet Bang Phlat,1
1026,เขตดินแดง,Khet Din Daeng,1
1027,เขตบึงกุ่ม,Khet Bueng Kum,1
1028,เขตสาทร,Khet Sathon,1
1029,เขตบางซื่อ,Khet Bang Sue,1
1030,เขตจตุจักร,Khet Chatuchak,1
1031,เขตบางคอแหลม,Khet Bang Kho Laem,1
1032,เขตประเวศ,Khet Prawet,1
1033,เขตคลองเตย,Khet Khlong Toei,1
1034,เขตสวนหลวง,Khet Suan Luang,1
1035,เขตจอมทอง,Khet Chom Thong,1
1036,เขตดอนเมือง,Khet Don Mueang,1
1037,เขตราชเทวี,Khet Ratchathewi,1
1038,เขตลาดพร้าว,Khet Lat Phrao,1
1039,เขตวัฒนา,Khet Watthana,1
1040,เขตบางแค,Khet Bang Khae,1
1041,เขตหลักสี่,Khet Lak Si,1
1042,เขตสายไหม,Khet Sai Mai,1
1043,เขตคันนายาว,Khet Khan Na Yao,1
1044,เขตสะพานสูง,Khet Saphan Sung,1
1045,เขตวังทองหลาง,Khet Wang Thonglang,1
1046,เขตคลองสามวา,Khet Khlong Sam Wa,1
1047,เขตบางนา,Khet Bang Na,1
1048,เขตทวีวัฒนา,Khet Thawi Watthana,1
1049,เขตทุ่งครุ,Khet Thung Khru,1
1050,เขตบางบอน,Khet Bang Bon,1
1081,*บ้านทะวาย,*Bantawai,1
1101,เมืองสมุทรปราการ,Mueang Samut Prakan,2
1102,บางบ่อ,Bang Bo,2
1103,บางพลี,Bang Phli,2
1104,พระประแดง,Phra Pradaeng,2
1105,พระสมุทรเจดีย์,Phra Samut Chedi,2
1106,บางเสาธง,Bang Sao Thong,2
1201,เมืองนนทบุรี,Mueang Nonthaburi,3
1202,บางกรวย,Bang Kruai,3
1203,บางใหญ่,Bang Yai,3
1204,บางบัวทอง,Bang Bua Thong,3
